12120348,1
12120403,77915818
12224928,1
14232826,F12F111
14232828,1
14232838,F22
14232840,2
15225817,asdsdg
15231329,1
15231349,1
16100814,1
16102130,5
16175827,1
17084703,1
17084706,1
17084706,2
17084739,77915818
17084754,77915818
17084807,77915818
17084822,77915818
17084938,77915818
17084949,77915818
17085026,77915818
17085112,77915818
17085122,77915818
17085133,77915818
17085142,77915818
17090758,77915818
17090805,77915818
17095714,77915818
17161412,123
17161413,1
17161419,7896637658522
17161426,789663765852
17161430,77915818
17161521,77915818
17161527,77915818
17161656,77915818
17161721,77915818
17161734,
17162014,77915818
19103119,1
19103159,1
19103201,77915818
19103224,77915818
19103306,77915818
19103450,77915818
19103508,77915818
19103509,77915818
19103649,77915818
19103650,77915818
19103757,77915818
19103837,77915818
19103847,77915818
19103854,77915818
19103913,77915818
19104008,77915818
19104020,77915818
19104032,77915818
19104040,77915818
19104041,77915818
19104043,77915818
19104215,77915818
19104437,77915818
19104516,77915818
19104601,77915818
19104626,77915818
19104705,77915818
19104716,77915818
19104722,77915818
19104731,77915818
19105201,77915818
19105202,77915818
19105219,77915818
19105234,77915818
19105235,77915818
19105239,77915818
19105251,77915818
19105311,77915818
19105406,77915818
19105423,77915818
19105427,77915818
19105430,77915818
19105433,77915818
19105446,77915818
19105457,77915818
19105501,77915818
19105505,77915818
19105509,77915818
19105533,77915818
19105537,77915818
19105540,77915818
19105557,77915818
19105700,77915818
19105712,77915818
19105731,77915818
19105735,77915818
19105742,77915818
19105752,77915818
19105758,77915818
19105816,77915818
19105956,77915818
19110025,77915818
19110032,77915818
19110036,77915818
19110205,77915818
19110206,77915818
19110217,77915818
19110218,77915818
19110236,77915818
19110243,77915818
19110308,77915818
19110400,77915818
